# frequency(Hz) HVamp
2.000000000000000042e-02 1.295552999999999955e+00
2.043777802275861116e-02 1.270149999999999890e+00
2.088513892042544867e-02 1.248307999999999973e+00
2.134229185993890415e-02 1.232323999999999975e+00
2.180945121728470465e-02 1.223193999999999892e+00
2.228683671448790371e-02 1.220099000000000045e+00
2.277467095838639488e-02 1.220892000000000088e+00
2.327318386720582041e-02 1.223159000000000107e+00
2.378260869151607032e-02 1.225325999999999915e+00
2.430318396985316209e-02 1.227522999999999920e+00
2.483515418061077798e-02 1.231745000000000090e+00
2.537876860438217572e-02 1.240855999999999959e+00
2.593428185548686538e-02 1.257012000000000018e+00
2.650195524800330604e-02 1.280610000000000026e+00
2.708205410122367304e-02 1.310240999999999989e+00
2.767485116257483238e-02 1.343388999999999944e+00
2.828062296556268368e-02 1.377288999999999985e+00
2.889965516642458918e-02 1.409243000000000023e+00
2.953223712425469966e-02 1.436986000000000097e+00
3.017866585007221089e-02 1.459556000000000076e+00
3.083924344304486698e-02 1.477635999999999949e+00
3.151428172097601316e-02 1.492564999999999920e+00
3.220409460893151193e-02 1.504841000000000095e+00
3.290900679366954434e-02 1.513247000000000009e+00
3.362935008254323843e-02 1.515133999999999981e+00
3.436545982617606604e-02 1.507968999999999893e+00
3.511768145762538679e-02 1.491398999999999919e+00
3.588636982920923035e-02 1.468102999999999936e+00
3.667188287528685281e-02 1.442539999999999933e+00
3.747459035401046190e-02 1.418805000000000094e+00
3.829486888200696326e-02 1.399453000000000058e+00
3.913310161841203338e-02 1.385653999999999941e+00
3.998968266187323539e-02 1.377918999999999894e+00
4.086501260624340881e-02 1.376781000000000033e+00
4.175950326235679244e-02 1.383027999999999924e+00
4.267357455111880221e-02 1.397188000000000097e+00
4.360765235805109941e-02 1.418585999999999903e+00
4.456217573218773653e-02 1.444695999999999980e+00
4.553759360593897382e-02 1.471475000000000088e+00
4.653436264861679494e-02 1.494922000000000084e+00
4.755294901990994583e-02 1.513312999999999908e+00
4.859383060501651364e-02 1.528259000000000034e+00
4.965749734357217948e-02 1.543401000000000023e+00
5.074444382592605690e-02 1.562135000000000051e+00
5.185518671652646766e-02 1.585787000000000058e+00
5.299023919793973553e-02 1.613196000000000074e+00
5.415013688613103116e-02 1.641979999999999995e+00
5.533542508618215922e-02 1.670280999999999905e+00
5.654665825930951795e-02 1.697640999999999956e+00
5.778440269534190765e-02 1.724571000000000076e+00
5.904923992113619846e-02 1.751490999999999909e+00
6.034176368113722960e-02 1.778191999999999995e+00
6.166257977365023624e-02 1.804125999999999896e+00
6.301230579922413588e-02 1.828389000000000042e+00
6.439157495481964699e-02 1.849086999999999925e+00
6.580103648476649802e-02 1.863286999999999916e+00
