# frequency(Hz) HVamp
2.000000000000000042e-02 1.207842000000000082e+00
2.043777802275861116e-02 1.196422000000000097e+00
2.088513892042544867e-02 1.175993000000000066e+00
2.134229185993890415e-02 1.144044999999999979e+00
2.180945121728470465e-02 1.099652000000000074e+00
2.228683671448790371e-02 1.043638000000000066e+00
2.277467095838639488e-02 9.780539999999999790e-01
2.327318386720582041e-02 9.057190000000000518e-01
2.378260869151607032e-02 8.304770000000000207e-01
2.430318396985316209e-02 7.572060000000000457e-01
2.483515418061077798e-02 6.915259999999999740e-01
2.537876860438217572e-02 6.392039999999999944e-01
2.593428185548686538e-02 6.049480000000000413e-01
2.650195524800330604e-02 5.906879999999999908e-01
2.708205410122367304e-02 5.945519999999999694e-01
2.767485116257483238e-02 6.119329999999999492e-01
2.828062296556268368e-02 6.385589999999999877e-01
2.889965516642458918e-02 6.729880000000000306e-01
2.953223712425469966e-02 7.159039999999999848e-01
3.017866585007221089e-02 7.668810000000000349e-01
3.083924344304486698e-02 8.220380000000000464e-01
3.151428172097601316e-02 8.753790000000000182e-01
3.220409460893151193e-02 9.231759999999999966e-01
3.290900679366954434e-02 9.672250000000000014e-01
3.362935008254323843e-02 1.013384000000000063e+00
3.436545982617606604e-02 1.067101999999999995e+00
3.511768145762538679e-02 1.130171000000000037e+00
3.588636982920923035e-02 1.200388999999999928e+00
3.667188287528685281e-02 1.273335000000000106e+00
3.747459035401046190e-02 1.344826999999999995e+00
3.829486888200696326e-02 1.412597000000000103e+00
3.913310161841203338e-02 1.476191999999999949e+00
3.998968266187323539e-02 1.536051999999999973e+00
4.086501260624340881e-02 1.593404999999999960e+00
4.175950326235679244e-02 1.650635000000000074e+00
4.267357455111880221e-02 1.710353999999999930e+00
4.360765235805109941e-02 1.773579999999999934e+00
4.456217573218773653e-02 1.839134999999999964e+00
4.553759360593897382e-02 1.904298000000000046e+00
4.653436264861679494e-02 1.964808000000000110e+00
4.755294901990994583e-02 2.014660000000000117e+00
4.859383060501651364e-02 2.046664999999999957e+00
4.965749734357217948e-02 2.053307999999999911e+00
5.074444382592605690e-02 2.029138999999999804e+00
5.185518671652646766e-02 1.973888000000000087e+00
5.299023919793973553e-02 1.893599999999999950e+00
5.415013688613103116e-02 1.798977000000000048e+00
5.533542508618215922e-02 1.701392999999999933e+00
5.654665825930951795e-02 1.608829999999999982e+00
5.778440269534190765e-02 1.524178999999999951e+00
5.904923992113619846e-02 1.446573000000000109e+00
6.034176368113722960e-02 1.374360000000000026e+00
6.166257977365023624e-02 1.307276000000000105e+00
6.301230579922413588e-02 1.246058000000000110e+00
6.439157495481964699e-02 1.191200000000000037e+00
6.580103648476649802e-02 1.142779999999999907e+00
6.724135160227064090e-02 1.101002000000000036e+00
6.871319291929786632e-02 1.066964000000000024e+00
7.021724865648072689e-02 1.042656000000000027e+00
7.175422799231455373e-02 1.029470000000000107e+00
7.332484622679873165e-02 1.026469999999999994e+00
7.492985067379918929e-02 1.030318999999999985e+00
7.656998328017844413e-02 1.037060000000000093e+00
7.824601847091161577e-02 1.043878000000000084e+00
7.995873489609482687e-02 1.049406999999999979e+00
8.170894587125514252e-02 1.052894999999999914e+00
8.349746848200181870e-02 1.053363999999999967e+00
8.532513483931059017e-02 1.049687999999999954e+00
8.719280666320453066e-02 1.041193999999999953e+00
8.910136197668877545e-02 1.028026000000000106e+00
9.105169441740208758e-02 1.011476000000000042e+00
9.304472101470850909e-02 9.942659999999999831e-01
9.508136492722282784e-02 9.801170000000000160e-01
9.716259003207046441e-02 9.727190000000000003e-01
9.928937600698042876e-02 9.744439999999999769e-01
1.014627169666056788e-01 9.851290000000000324e-01
1.036836198025345573e-01 1.001411999999999969e+00
1.059531470945422049e-01 1.017406000000000033e+00
1.082723426204657002e-01 1.027182000000000039e+00
1.106423073612318730e-01 1.027822000000000013e+00
1.130641434367904014e-01 1.020667999999999909e+00
1.155389888050807612e-01 1.010064999999999991e+00
1.180680199308263012e-01 1.001074999999999937e+00
1.206523964642573915e-01 9.973919999999999453e-01
